#Created: 06/03/2025 21:36
#Station Name: Ballymahon
#Station Number: 26021
#Waterbody: INNY
#RBD: SHANNON RBD
#Latitude: 53.56286722
#Longitude: -7.757922778
#Station Parameter Name: Q
#Resolution: Daily data
#Unit: cumec
#From: 26/12/1953
#To: 06/03/2025
Day,Day Min,Day Mean,Day Max,Quality
26/12/1953,,0,,-1
27/12/1953,,0,,-1
28/12/1953,,0,,-1
29/12/1953,,0,,-1
30/12/1953,,0,,-1
31/12/1953,,0,,-1
01/01/1954,,0,,-1
02/01/1954,,0,,-1
03/01/1954,,0,,-1
04/01/1954,,0,,-1
05/01/1954,,0,,-1
06/01/1954,,0,,-1
07/01/1954,,0,,-1
08/01/1954,,0,,-1
09/01/1954,,0,,-1
10/01/1954,,0,,-1
11/01/1954,,0,,-1
12/01/1954,,0,,-1
13/01/1954,,0,,-1
14/01/1954,,0,,-1
15/01/1954,,0,,-1
16/01/1954,,0,,-1
17/01/1954,,0,,-1
18/01/1954,,0,,-1
19/01/1954,,0,,-1
20/01/1954,,0,,-1
21/01/1954,,0,,-1
22/01/1954,,0,,-1
23/01/1954,,0,,-1
24/01/1954,,0,,-1
25/01/1954,,0,,-1
26/01/1954,,0,,-1
27/01/1954,,0,,-1
28/01/1954,,0,,-1
29/01/1954,,0,,-1
30/01/1954,,0,,-1
31/01/1954,,0,,-1
01/02/1954,,0,,-1
02/02/1954,,0,,-1
03/02/1954,,0,,-1
04/02/1954,,0,,-1
05/02/1954,,0,,-1
06/02/1954,,0,,-1
07/02/1954,,0,,-1
08/02/1954,,0,,-1
09/02/1954,,0,,-1
10/02/1954,,0,,-1
11/02/1954,,0,,-1
12/02/1954,,0,,-1
13/02/1954,,0,,-1
14/02/1954,,0,,-1
15/02/1954,,0,,-1
16/02/1954,,0,,-1
17/02/1954,,0,,-1
18/02/1954,,0,,-1
19/02/1954,,0,,-1
20/02/1954,,0,,-1
21/02/1954,,0,,-1
22/02/1954,,0,,-1
23/02/1954,,0,,-1
24/02/1954,,0,,-1
25/02/1954,,0,,-1
26/02/1954,,0,,-1
